ExternalId,BetlabEventKey,NameLng1,NameText1,NameLng2,NameText2,GroupCommentLng1,GroupCommentText1,GroupCommentLng2,GroupCommentText2
31226321,PT492:PR57180:1526151600,en,Eurovision|Entertaint. 2018. Lisbon. Final:Belgium,ru,Евровидение|2018. Лиссабон. Финал:Бельгия,,,,
31228282,PT2349:PR1497:PR1075:1522594800,en,Division 1|First:Omonia Nicosia - Anorthosis Famagusta,ru,Первый дивизион|:Омония Никосия - Анортосис Фамагуста,,,,
31231495,PT4702:PR142758:1524042000,en,Cup. Futures|Football. 2017/2018:AEK Athen,ru,Кубок. Итоги|Футбол. Кубок 2017/2018:АЕК Афины,,,,
31228937,PT2627:PR6710:1524294000,en,Fed Cup|2018. Futures:USA,ru,Кубок Федераций|Федерации 2018. Итоги турнира:США,,,,
31230106,PT3196:PR47255:1530385200,en,Pro A 2017/18. Futures|:JL Bourg Basket,ru,Про A 2017/18. Итоги|:Бург-ан-Брес,,,,
31229790,PT3148:PU12158469:1530122400,en,FIFA World Cup 2018. Winner|Football. FIFA World Cup 2018. Group E:Will miss more goals in the group,ru,Чемпионат мира 2018. Победитель|Футбол. Группа E:Пропустит больше всех голов в группе ,,,,
31226269,PT473:PR47413:PR91980:1522355400,en,|Premier League:Gurney Daryl - Cross Rob,ru,|Premier League:Гарни Дэрил - Кросс Роб,ru,матчи из 12 легов ,,
31226322,PT492:PR19157:1526151600,en,Eurovision|Entertaint. 2018. Lisbon. Final:Denmark,ru,Евровидение|2018. Лиссабон. Финал:Дания,,,,
31228505,PT2382:PR46587:PR15293:1522504800,en,Northern Premier League|:Rushall Olympic - Altrincham,ru,Северная Премьер-Лига|:Рашолл Олимпик - Олтринхэм,,,,
31229365,PT2938:PR22012:PR48657:1522328400,en,Serie D|:Chioggia Sottomarina - A.C. Delta Calcio Rovigo,ru,Серия D|:Кьоджа Соттомарина - Дельта Ровиго,,,,
31226179,PT425:PR27360:1524301200,en,Snooker|World Championship 2018. Futures:Jack Lisowski,ru,Снукер|World Championship 2018. Итоги турнира:Джек Лисовски,,,,
31226087,PT401:PR7044:PR539:1522677600,en,League 1|:Doncaster - AFC Wimbledon,ru,Лига 1|:Донкастер - АФК Уимблдон,,,,
31227878,PT2262:PR26709:PR30944:1522425600,en,Premier League|:Misr Lel Makasa - ENPPI,ru,Премьер-лига|:Миср Лель-Макаса - ЕНППИ,,,,
31226252,PT469:PR118297:1522504800,en,Superleague|Winner:Zenit Saint-Petersburg,ru,Суперлига|Итоги:Зенит СПб,,,,
31227831,PT2234:PR32584:PR27844:1522582200,en,Soccer Championship A|Liga 1:Srivijaya FC - Persib Bandung,ru,Чемпионат A|Лига 1:Сривижая - Персиб Бандунг,,,,
31231394,PT4613:PR5915:PR5970:1536345900,en,UEFA Nations League|:Italy - Poland,ru,Лига наций УЕФА|:Италия - Польша,,,,
31227645,PT2183:PR47611:PR45158:1522332000,en,2 Liga|II:Legionovia Legionowo - Rozwoj Katowice,ru,Лига 2|:Легионовия Легионово - Розвуй Катовице,,,,
